partyCode,partyName,name,familyName,givenName,sitting,electorateCode,electorateState,electorateName,electorateChamber
LNP,LNP,David Littleproud,Littleproud,David,0,mara,QLD,Maranoa,house
AJP,Animal Justice Party,Alyssa Liu,Liu,Alyssa,0,hind,SA,Hindmarsh,house
GRN,Greens,Kingsley Liu,Liu,Kingsley,0,lind,NSW,Lindsay,house
LIB,Liberal Party,Philip Liu,Liu,Philip,0,melb,VIC,Melbourne,house
GRN,Greens,Rose Ljubicic,Ljubicic,Rose,0,scul,VIC,Scullin,house
ALP,Australian Labor Party,Matt Loader,Loader,Matt,0,stur,SA,Sturt,house
FLX,Flux,Steven Lopez,Lopez,Steven,0,snsw,NSW,New South Wales,senate
ALP,Australian Labor Party,Lorrae Loud,Loud,Lorrae,0,forr,WA,Forrest,house
GLT,Glenn Lazarus Team,Annette Lourigan,Lourigan,Annette,0,sqld,QLD,Queensland,senate
AJP,Animal Justice Party,Katrina Love,Love,Katrina,0,swa,WA,Western Australia,senate
ODD,Online Direct Democracy,Richard Love,Love,Richard,0,hink,QLD,Hinkler,house
GRN,Greens,Kirsten Lovejoy,Lovejoy,Kirsten,0,bris,QLD,Brisbane,house
GRN,Australian Greens,Scott Ludlam,Ludlam,Scott,1,swa,WA,Western Australia,senate
AJP,Animal Justice Party,Anna Ludvick,Ludvick,Anna,0,page,NSW,Page,house
GRN,Greens,Julie Lyford,Lyford,Julie,0,lyne,NSW,Lyne,house
FFP,Family First Party,Stephen Lynch,Lynch,Stephen,0,hink,QLD,Hinkler,house
NXT,Nick Xenophon Team,Stephen Lynch,Lynch,Stephen,0,lind,NSW,Lindsay,house
GRN,Greens,Kristen Lyons,Lyons,Kristen,0,more,QLD,Moreton,house
LNP,Liberal National Party,Ian Macdonald,Macdonald,Ian,1,sqld,QLD,Queensland,senate
GRN,The Greens,James Macdonald,Macdonald,James,0,ksmi,NSW,Kingsford Smith,house
APP,Anti-paedophile Party,Marney MacDonald,MacDonald,Marney,0,snt,NT,Northern Territory,senate
GRN,Greens,Ivan MacFadyen,MacFadyen,Ivan,0,shor,NSW,Shortland,house
CLP,Country Liberals,Tina MacFarlane,MacFarlane,Tina,0,ling,NT,Lingiari,house
GRN,Greens,John Mackenzie,Mackenzie,John,0,newc,NSW,Newcastle,house
ONP,Pauline Hanson's One Nation,Dean Mackin,Mackin,Dean,0,snsw,NSW,New South Wales,senate
ALP,Australian Labor Party,Jenny Macklin,Macklin,Jenny,1,jaga,VIC,Jagajaga,house
FFP,Family First,Peter Madden,Madden,Peter,0,stas,TAS,Tasmania,senate
NAT,The Nationals,Andy Maddison,Maddison,Andy,0,bend,VIC,Bendigo,house
MFP,John Madigan's Manufacturing and Farming Party,John Madigan,Madigan,John,1,svic,VIC,Victoria,senate
APP,Anti-Paedophile Party,Mia Madsen,Madsen,Mia,0,stas,TAS,Tasmania,senate
CM,Countryminded,David Mailler,Mailler,David,0,neng,NSW,New England,house
CM,Country Minded,Peter Mailler,Mailler,Peter,0,sqld,QLD,Queensland,senate
CDP,Christian Democratic Party,Milan Maksimovic,Maksimovic,Milan,0,mcma,NSW,McMahon,house
NAT,The Nationals,Jan Mandelson,Mandelson,Jan,0,whit,NSW,Whitlam,house
LIB,Liberal Party,Ned Mannoun,Mannoun,Ned,0,werr,NSW,Werriwa,house
GRN,Greens,Sarah Mansfield,Mansfield,Sarah,0,cori,VIC,Corio,house
GRN,Greens,Alice Mantel,Mantel,Alice,0,reid,NSW,Reid,house
LIB,Liberal,Nola Marino,Marino,Nola,1,forr,WA,Forrest,house
LIB,Liberal Party,Amanda-Sue Markham,Markham,Amanda-Sue,0,fran,TAS,Franklin,house
LIB,Liberal,Louise Markus,Markus,Louise,1,macq,NSW,Macquarie,house
ALP,Australian Labor Party,Richard Marles,Marles,Richard,1,cori,VIC,Corio,house
KAP,Katter's Australian Party,Joy Marriott,Marriott,Joy,0,sqld,QLD,Queensland,senate
GRN,The Greens,Jonathon Marsden,Marsden,Jonathon,0,gell,VIC,Gellibrand,house
GRN,Greens,Bron Marsh,Marsh,Bron,0,wbay,QLD,Wide Bay,house
GRN,Greens,Jillian Marsh,Marsh,Jillian,0,grey,SA,Grey,house
ALA,Australian Liberty Alliance,Wanda Marsh,Marsh,Wanda,0,ssa,SA,South Australia,senate
ALP,Australian Labor Party,Gavin Marshall,Marshall,Gavin,1,svic,VIC,Victoria,senate
ALP,Labor Party,Carol Martin,Martin,Carol,0,dura,WA,Durack,house
ALP,Australian Labor Party,Scott Martin,Martin,Scott,0,grey,SA,Grey,house
JLN,Jacqui Lambie Network,Steve Martin,Martin,Steve,0,stas,TAS,Tasmania,senate
LIB,Liberal,Russell Matheson,Matheson,Russell,1,maca,NSW,Macarthur,house
LIB,Liberal Party,James Mathias,Mathias,James,0,holt,VIC,Holt,house
IND,Independent,James Mathison,Mathison,James,0,warr,NSW,Warringah,house
AJP,Animal Justice Party,John Matlen,Matlen,John,0,scul,VIC,Scullin,house
21CP,21st Century Party,Kimberley Maurmo,Maurmo,Kimberley,0,maki,SA,Makin,house
FFP,Family First Party,Bruce Mayer,Mayer,Bruce,0,wbay,QLD,Wide Bay,house
IND,Independent,Stephen Mayne,Mayne,Stephen,0,menz,VIC,Menzies,house
AJP,Animal Justice Party,Jennifer McAdam,McAdam,Jennifer,0,mcmi,VIC,McMillan,house
ALP,Australian Labor Party,Jenny McAllister,McAllister,Jenny,1,snsw,NSW,New South Wales,senate
CDP,Christian Democratic Party,Beth McAlpine,McAlpine,Beth,0,page,NSW,Page,house
ALP,Australian Labor Party,Emma McBride,McBride,Emma,0,dobe,NSW,Dobell,house
